# Version 1.00
#
freq[Hz];re:Trc1_S11;im:Trc1_S11;re:Trc2_S22;im:Trc2_S22;re:Trc3_S21;im:Trc3_S21;
2.183750000000000E+09;3.755965435252112E-01;-7.674657609544844E-01;4.601653826380087E-01;-7.230691674240695E-01;1.831234497450042E-03;-3.911150144104924E-04;
2.185000000000000E+09;3.336130645003934E-01;-7.865631981192724E-01;4.207735680438156E-01;-7.463449399634553E-01;1.835255626309473E-03;-5.155562670792121E-04;
2.186250000000000E+09;2.906660909464849E-01;-8.032400646610387E-01;3.799225372229365E-01;-7.676404639495447E-01;1.829204903994385E-03;-6.710179869947906E-04;
2.187500000000000E+09;2.468388266263317E-01;-8.175291112669184E-01;3.381496503969868E-01;-7.865796067826126E-01;1.790448259878561E-03;-7.622884894610279E-04;
2.188750000000000E+09;2.025598164327946E-01;-8.294618798525587E-01;2.951332568888357E-01;-8.034374394014812E-01;1.706493737011218E-03;-8.752965187922518E-04;
2.190000000000000E+09;1.570311804524248E-01;-8.390274552374961E-01;2.515272514654578E-01;-8.178956825108626E-01;1.639950845844889E-03;-9.884817024522065E-04;
2.191250000000000E+09;1.115162145117720E-01;-8.459340787474783E-01;2.072480831608802E-01;-8.298676322402870E-01;1.560100805388355E-03;-1.138629890731492E-03;
2.192500000000000E+09;6.565657214850980E-02;-8.504436569845304E-01;1.620293254566145E-01;-8.394754731833867E-01;1.476044657798833E-03;-1.204351348021211E-03;
2.193750000000000E+09;1.945646899948340E-02;-8.524010212970957E-01;1.163664831599355E-01;-8.465117522589274E-01;1.351877199614915E-03;-1.279561769125895E-03;
2.195000000000000E+09;-2.654334706923044E-02;-8.521340058522791E-01;7.064026938745334E-02;-8.514256662592685E-01;1.253617002281087E-03;-1.319566467263682E-03;
2.196250000000000E+09;-7.261515012580272E-02;-8.491404932149884E-01;2.439190620109841E-02;-8.536518116322936E-01;1.200679123906475E-03;-1.358621848504033E-03;
2.197500000000000E+09;-1.184600822519631E-01;-8.438343561865137E-01;-2.159915449516810E-02;-8.532824074892617E-01;1.060089899299138E-03;-1.433086272540124E-03;
2.198750000000000E+09;-1.638114061071028E-01;-8.358643228873972E-01;-6.755681381998982E-02;-8.505230561103327E-01;9.800603547976813E-04;-1.473152513578447E-03;
2.200000000000000E+09;-2.088383497603804E-01;-8.255042948800416E-01;-1.133441341967890E-01;-8.455056902958284E-01;8.775701999720275E-04;-1.459612888129967E-03;
2.201250000000000E+09;-2.532573291298588E-01;-8.129002050832022E-01;-1.589915033290339E-01;-8.377172831642133E-01;8.172560759656896E-04;-1.445228180059019E-03;
2.202500000000000E+09;-2.965698468926840E-01;-7.978195816503006E-01;-2.041235461769264E-01;-8.276982652304834E-01;7.347675013051983E-04;-1.470405033590443E-03;
2.203750000000000E+09;-3.392556881732330E-01;-7.802967613181609E-01;-2.485672523734503E-01;-8.151827866312930E-01;7.139449194435581E-04;-1.454527191124831E-03;
2.205000000000000E+09;-3.809239248799022E-01;-7.607941279917501E-01;-2.922039347509252E-01;-8.003647491845383E-01;7.139115182243324E-04;-1.498439956191950E-03;
2.206250000000000E+09;-4.213299574854172E-01;-7.388744069138214E-01;-3.350782718833210E-01;-7.831623553755148E-01;6.934875308197070E-04;-1.516609047112821E-03;
